adm2_en,month,NO2,date
Maguindanao del Sur,2022-11,4.4220151809780153e-05,2022-11-01T00:00:00
Davao de Oro,2022-12,4.0254747178688974e-05,2022-12-01T00:00:00
Davao Occidental,2022-12,3.624201264533039e-05,2022-12-01T00:00:00
Cotabato,2022-12,3.9911704144531424e-05,2022-12-01T00:00:00
Maguindanao del Norte,2022-12,3.995003325820507e-05,2022-12-01T00:00:00
Maguindanao del Sur,2022-12,4.020717746332264e-05,2022-12-01T00:00:00
Davao de Oro,2023-01,3.612653369529261e-05,2023-01-01T00:00:00
Davao Occidental,2023-01,3.410622430918001e-05,2023-01-01T00:00:00
Cotabato,2023-01,3.820401853380533e-05,2023-01-01T00:00:00
Maguindanao del Norte,2023-01,3.780194862865404e-05,2023-01-01T00:00:00
Maguindanao del Sur,2023-01,3.830151769752758e-05,2023-01-01T00:00:00
Davao de Oro,2023-02,3.307262709179198e-05,2023-02-01T00:00:00
Davao Occidental,2023-02,2.9324399740716384e-05,2023-02-01T00:00:00
Cotabato,2023-02,3.5452648169436105e-05,2023-02-01T00:00:00
Maguindanao del Norte,2023-02,3.4924127997916546e-05,2023-02-01T00:00:00
Maguindanao del Sur,2023-02,3.489335837431814e-05,2023-02-01T00:00:00
Davao de Oro,2023-03,3.588084342450777e-05,2023-03-01T00:00:00
Davao Occidental,2023-03,3.401928328678384e-05,2023-03-01T00:00:00
Cotabato,2023-03,3.969430455269755e-05,2023-03-01T00:00:00
Maguindanao del Norte,2023-03,4.005492956351369e-05,2023-03-01T00:00:00
Maguindanao del Sur,2023-03,4.112339440787875e-05,2023-03-01T00:00:00
Davao de Oro,2023-04,3.961408054298782e-05,2023-04-01T00:00:00
Davao Occidental,2023-04,3.925577445433333e-05,2023-04-01T00:00:00
Cotabato,2023-04,4.223902642071867e-05,2023-04-01T00:00:00
Maguindanao del Norte,2023-04,4.2479503950315774e-05,2023-04-01T00:00:00
Maguindanao del Sur,2023-04,4.444268512977847e-05,2023-04-01T00:00:00
Davao de Oro,2023-05,4.5656945411421775e-05,2023-05-01T00:00:00
Davao Occidental,2023-05,4.295326096028959e-05,2023-05-01T00:00:00
Cotabato,2023-05,4.686169578118616e-05,2023-05-01T00:00:00
Maguindanao del Norte,2023-05,4.613643203075525e-05,2023-05-01T00:00:00
Maguindanao del Sur,2023-05,4.805836281178033e-05,2023-05-01T00:00:00
Davao de Oro,2023-06,4.766735305420169e-05,2023-06-01T00:00:00
Davao Occidental,2023-06,4.4897497422870045e-05,2023-06-01T00:00:00
Cotabato,2023-06,4.718901260510337e-05,2023-06-01T00:00:00
Maguindanao del Norte,2023-06,4.624758476842433e-05,2023-06-01T00:00:00
Maguindanao del Sur,2023-06,4.691473781815544e-05,2023-06-01T00:00:00
Davao de Oro,2023-07,4.596555950452024e-05,2023-07-01T00:00:00
Davao Occidental,2023-07,4.1092156787560215e-05,2023-07-01T00:00:00
Cotabato,2023-07,4.580868004790843e-05,2023-07-01T00:00:00
Maguindanao del Norte,2023-07,4.528218158610186e-05,2023-07-01T00:00:00
Maguindanao del Sur,2023-07,4.5877668493765634e-05,2023-07-01T00:00:00
Davao de Oro,2023-08,4.350245638731844e-05,2023-08-01T00:00:00
Davao Occidental,2023-08,3.886879671038746e-05,2023-08-01T00:00:00
Cotabato,2023-08,4.173308669752086e-05,2023-08-01T00:00:00
Maguindanao del Norte,2023-08,4.129872126898872e-05,2023-08-01T00:00:00
Maguindanao del Sur,2023-08,4.172786673918514e-05,2023-08-01T00:00:00
Davao de Oro,2023-09,4.29183068091836e-05,2023-09-01T00:00:00
Davao Occidental,2023-09,3.984630608835036e-05,2023-09-01T00:00:00
Cotabato,2023-09,4.337655951247968e-05,2023-09-01T00:00:00
Maguindanao del Norte,2023-09,4.201338544636058e-05,2023-09-01T00:00:00
Maguindanao del Sur,2023-09,4.440421610365644e-05,2023-09-01T00:00:00
Davao de Oro,2023-10,4.004712895089556e-05,2023-10-01T00:00:00
